Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Michael Smith,M,Raw,,,M_O_R_ABPU,69.2,75,115,67.5,120,302.5,2,228.71,300.97,Yes,Wales,BPU,07/05/2016,England,North West Qualifier
Steven Varney,M,Raw,,,M_O_R_ABPU,80.8,82.5,170,130,220,520,1,352.8,515.38,Yes,England,BPU,07/05/2016,England,North West Qualifier
Alex Tuddenham,M,Raw,23,20-23,M_J_R_ABPU,123.8,125,232.5,140,270,642.5,2,366.85,502.99,Yes,UK,BPU,02/09/2017,England,British Championships
Alexandra Foster,F,Raw,25.5,24-34,F_O_R_ABPU,74.2,75,130,75,160,365,2,349.34,587.4,Yes,England,BPU,02/09/2017,England,British Championships
Alison Dufour,F,Raw,,,F_O_R_ABPU,80.2,82.5,122.5,72.5,140,335,1,306.1,522.21,Yes,England,BPU,02/09/2017,England,British Championships
Amelia Baines,F,Raw,28.5,24-34,F_O_R_ABPU,47.9,48,67.5,40,85,192.5,1,255.34,363.82,Yes,UK,BPU,02/09/2017,England,British Championships
Andrew Moyler,M,Raw,55.5,55-59,M_O_R_ABPU,96.6,100,175,127.5,235,537.5,3,331.87,474.35,Yes,UK,BPU,02/09/2017,England,British Championships
Ann Votsikas,F,Raw,52.5,50-54,F_M3_R_ABPU,81.2,82.5,87.5,62.5,147.5,297.5,1,270,461.96,Yes,UK,BPU,02/09/2017,England,British Championships
Bev Johnson,F,Raw,52,50-54,F_M3_R_ABPU,66.2,67.5,65,45,105,215,1,222.54,359.02,Yes,England,BPU,02/09/2017,England,British Championships
Colin O'Hagan,M,Raw,56.5,55-59,M_M4_R_ABPU,98.4,100,85,80,135,300,2,183.78,224.18,Yes,UK,BPU,02/09/2017,England,British Championships
Elizabeth Webb,F,Raw,28.5,24-34,F_O_R_ABPU,88.7,90,110,57.5,165,332.5,2,289.08,498.87,Yes,UK,BPU,02/09/2017,England,British Championships
Eric Conway,M,Raw,55,55-59,M_M4_R_ABPU,87.8,90,180,112.5,230,522.5,1,337.89,489.04,Yes,UK,BPU,02/09/2017,England,British Championships
Gemma Wright,F,Raw,24.5,24-34,F_O_R_ABPU,74.1,75,140,67.5,165,372.5,1,356.83,599.87,Yes,UK,BPU,02/09/2017,England,British Championships
Geni Devonish,F,Raw,42.5,40-44,F_M1_R_ABPU,93.4,90+,137.5,77.5,150,365,1,310.83,536.2,Yes,England,BPU,02/09/2017,England,British Championships
Hassan Haynes,M,Raw,35,35-39,M_O_R_ABPU,88.3,90,165,132.5,240,537.5,5,346.55,503.56,Yes,UK,BPU,02/09/2017,England,British Championships
John Devlin,M,Raw,46.5,45-49,M_M2_R_ABPU,98.4,100,210,145,240,595,1,364.5,527.91,Yes,England,BPU,02/09/2017,England,British Championships
Kelly Mathews,F,Raw,35.5,35-39,F_O_R_ABPU,72.9,75,87.5,57.5,130,275,4,266.22,444.94,Yes,England,BPU,02/09/2017,England,British Championships
Lindsay McGuire,F,Raw,,,F_O_R_ABPU,55.9,56,72.5,50,127.5,250,1,294.56,451.05,Yes,UK,BPU,02/09/2017,England,British Championships
Lisa Bulcock,F,Raw,28.5,24-34,F_O_R_ABPU,89.6,90,182.5,85,180,447.5,1,387.39,665.23,Yes,England,BPU,02/09/2017,England,British Championships
Lucinda Stansfield,F,Raw,28,24-34,F_O_R_ABPU,65.8,67.5,115,52.5,140,307.5,1,319.7,520.1,Yes,UK,BPU,02/09/2017,England,British Championships
Michael Smith,M,Raw,27,24-34,M_O_R_ABPU,72.7,75,135,85,160,380,1,276.84,384.16,Yes,Wales,BPU,02/09/2017,England,British Championships
Mitchell Tutt,M,Raw,31,24-34,M_O_R_ABPU,109.8,110,250,157.5,275,682.5,1,401.87,578.24,Yes,UK,BPU,02/09/2017,England,British Championships
Nathaniel Robinson,M,Raw,24,24-34,M_O_R_ABPU,88.5,90,200,132.5,240,572.5,3,368.67,541.05,Yes,UK,BPU,02/09/2017,England,British Championships
Nicola Carthy,F,Raw,37,35-39,F_O_R_ABPU,78.9,82.5,105,70,155,330,2,304.32,517.79,Yes,UK,BPU,02/09/2017,England,British Championships
Bob Tollafield,M,Raw,59,55-59,M_M4_R_ABPU,98.2,100,115,90,152.5,357.5,1,219.19,283.79,Yes,UK,BPU,02/09/2017,England,British Championships
Sam Picknett,M,Raw,18,18-19,M_T3_R_ABPU,108.6,110,,80,180,,DQ,,,Yes,UK,BPU,02/09/2017,England,British Championships
Samantha Vickers,F,Raw,31,24-34,F_O_R_ABPU,70.8,75,110,67.5,150,327.5,3,323.29,537.25,Yes,UK,BPU,02/09/2017,England,British Championships
Sarah Lees,F,Raw,35.5,35-39,F_O_R_ABPU,73.1,75,75,50,140,265,5,256.08,428.17,Yes,UK,BPU,02/09/2017,England,British Championships
Yvette Wilmot,F,Raw,34.5,24-34,F_O_R_ABPU,59.1,60,60,52.5,122.5,235,2,265.09,412.12,Yes,UK,BPU,02/09/2017,England,British Championships
Alan Motyer-Lowndes,M,Raw,46.5,45-49,M_M2_R_ABPU,80.8,82.5,110,85,180,375,1,254.42,348.03,Yes,England,BPU,07/02/2016,England,Northern Qualifier
Amin Toulabi Nasab,M,Raw,,20-23,M_J_R_ABPU,64,67.5,120,120,200,440,1,354.5,507.74,Yes,England,BPU,07/02/2016,England,Northern Qualifier
Andrew Rutland,M,Raw,,40-44,M_M1_R_ABPU,115.2,125,205,152.5,242.5,600,1,348.47,484.02,Yes,England,BPU,07/02/2016,England,Northern Qualifier
Callum Waters,M,Raw,,,M_O_R_ABPU,73.6,75,180,132.5,220,532.5,1,384.52,567.13,Yes,England,BPU,07/02/2016,England,Northern Qualifier
Ewan Cunliffe,M,Raw,,20-23,M_J_R_ABPU,107.2,110,220,170,260,650,1,385.68,554.58,Yes,England,BPU,07/02/2016,England,Northern Qualifier
John Devlin,M,Raw,45,45-49,M_M2_R_ABPU,97.2,100,205,130,235,570,1,351,506.14,Yes,England,BPU,07/02/2016,England,Northern Qualifier
Bev Johnson,F,Raw,53,50-54,F_M3_R_ABPU,66.75,67.5,77.5,50,90,217.5,1,223.78,362.23,Yes,England,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Bev Johnson,F,Raw,53,50-54,F_O_R_ABPU,66.75,67.5,77.5,50,90,217.5,1,223.78,362.23,Yes,England,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Samantha Vickers,F,Raw,33,24-34,F_O_R_ABPU,69.35,75,115,62.5,135,312.5,2,312.9,516.84,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Laura Smith #1,F,Raw,37,35-39,F_O_R_ABPU,70.05,75,135,75,162.5,372.5,1,370.4,614.86,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
Joey Mitchell,M,Raw,53,50-54,M_M3_R_ABPU,58.95,60,110,60,110,280,1,242.72,315.75,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
David Gould,M,Raw,33,24-34,M_O_R_ABPU,71.3,75,145,87.5,165,397.5,4,293.77,412.09,Yes,UK,BPU,09/02/2019,England,Midlands and South Yorkshire Qualifier
