Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Tom Gee #1,M,Raw,,,M-C-Open,82.9,83,205,168,262.5,635.5,1,424.5,637.33,Yes,England,EPA,21/02/2015,England,North Midlands Four Counties
Owen Lockwood,M,Raw,22.5,20-23,M-C-G,77.8,83,190,122.5,235,547.5,G,380.56,562.14,Yes,England,EPA,21/02/2015,England,North Midlands Four Counties
Devon Blackwood,M,Raw,21.5,20-23,M-C-Open,89.5,93,250,155,260,665,1,425.74,637.44,Yes,UK,EPA,21/02/2015,England,North Midlands Four Counties
Mark Gregory,M,Raw,28.5,24-34,M-C-Open,102.5,105,240,180,,,DQ,,,Yes,UK,EPA,21/02/2015,England,North Midlands Four Counties
Kate Nyers,F,Raw,,,F-C-N,70.6,72,80,55,110,245,1,242.31,400.72,Yes,England,EPA,01/05/2011,England,South East Novice & Junior Powerlifting Championships
Sam Pile,M,Raw,,,M-C-U16,55,59,140,72.5,150,362.5,1,335.92,462.71,Yes,England,EPA,01/05/2011,England,South East Novice & Junior Powerlifting Championships
Cameron Keyes,M,Raw,,,M-C-U16,75.35,83,157.5,87.5,190,435,1,308.96,439.73,Yes,England,EPA,01/05/2011,England,South East Novice & Junior Powerlifting Championships
Jack Long,M,Raw,21.5,20-23,M-C-U23,81.2,83,172.5,140,230,542.5,1,366.95,539.46,Yes,England,EPA,01/05/2011,England,South East Novice & Junior Powerlifting Championships
Steven Tyers,M,Raw,,,M-C-U23,61.6,67.5,140,105,220,465,1,387.3,559.03,Yes,UK,EPA,06/12/2009,England,South Midlands Unequipped Powerlifting Championships
Terry Jex,M,Raw,54,50-54,M-C-M2,99.9,100,220,150,280,650,1,395.74,579.04,Yes,England,EPA,06/12/2009,England,South Midlands Unequipped Powerlifting Championships
Daniel Whittall,M,Raw,,,M-C-Open,74,74,165,102.5,205,472.5,4,339.88,491.63,Yes,UK,EPA,02/09/2017,England,North West Championships
Henry Chay,M,Raw,56,55-59,M-C-Open,63.5,66,155,85,205,445,1,360.94,517.86,Yes,UK,EPA,02/09/2017,England,North West Championships
Richard Gould,M,Raw,57.5,55-59,M-C-Open,58.4,59,100,65,135,300,3,262.34,347.46,Yes,UK,EPA,02/09/2017,England,North West Championships
David Clifford,M,Raw,52,50-54,M-C-Open,82.5,83,207.5,130.5,232.5,570.5,4,382.18,565.37,Yes,UK,EPA,02/09/2017,England,North West Championships
Ewan Cunliffe,M,Raw,,,M-C-Open,112.1,120,250,185,265,700,1,409.63,588.03,Yes,England,EPA,02/09/2017,England,North West Championships
Ian Shaw,M,Raw,41.5,40-44,M-C-Open,88,93,230,127.5,260,617.5,3,398.84,592.46,Yes,UK,EPA,02/09/2017,England,North West Championships
Jordan McLaughlin,M,Raw,23.5,24-34,M-C-Open,143.2,120+,340,227.5,312.5,880,2,490.12,667,Yes,UK,EPA,02/09/2017,England,North West Championships
Tony Cliffe,M,Raw,32.5,24-34,M-C-Open,124,120+,340,220,355,915,1,522.27,751.54,Yes,UK,EPA,02/09/2017,England,North West Championships
Beckie Hebson,F,Raw,33,24-34,F-C-G,52.4,57,107.5,55,130,292.5,G,362.49,550.35,Yes,UK,EPA,02/09/2017,England,North West Championships
Clare Patterson,F,Raw,32.5,24-34,F-C-Open,70.7,72,135,97.5,140,372.5,2,368.06,612.33,Yes,Ireland,EPA,02/09/2017,England,North West Championships
Lindsey Woodcock,F,Raw,39.5,35-39,F-C-Open,80.5,84,100,65,140,305,4,278.12,475.06,Yes,UK,EPA,02/09/2017,England,North West Championships
Mariella Fisher,F,Raw,17,16-17,F-C-Open,66,72,143,80,167.5,390.5,1,405.09,662.97,Yes,UK,EPA,02/09/2017,England,North West Championships
Steevi Pugh,F,Raw,27.5,24-34,F-C-Open,94.8,84+,152.5,67.5,147.5,367.5,2,311.28,536.84,Yes,UK,EPA,02/09/2017,England,North West Championships
Betty Gray,F,Raw,54.5,50-54,F-C-M2,98.5,84+,135,70,200,405,1,338.73,581.82,Yes,UK,EPA,11/11/2017,England,South East Open
Emily Williams,F,Raw,,,F-C-Open,70.7,72,150,75,155,380,2,375.47,624.79,Yes,UK,EPA,11/11/2017,England,South East Open
Hannah Yardy,F,Raw,,,F-C-Open,62.8,63,125,77.5,170,372.5,1,401.01,646.95,Yes,England,EPA,11/11/2017,England,South East Open
Helen Cheesworth,F,Raw,35.5,35-39,F-C-Open,75.3,84,107.5,55,125,287.5,2,272.63,459.47,Yes,UK,EPA,11/11/2017,England,South East Open
Daniel Clarke #1,M,Raw,20.5,20-23,M-C-U23,82.6,83,202.5,122.5,220,545,2,364.83,535.85,Yes,UK,EPA,11/11/2017,England,South East Open
Christian Ayandokun,M,Raw,25.5,24-34,M-C-Open,74,74,210,,260,,DQ,,,Yes,UK,EPA,11/11/2017,England,South East Open
Kevin Payne,M,Raw,,,M-C-M3,71.1,74,110,82.5,192.5,385,1,285.13,397.36,Yes,UK,EPA,11/11/2017,England,South East Open
Malcolm Bainbridge,M,Raw,72.5,70-74,M-C-M4,65.4,66,,77.5,180,,DQ,,,Yes,UK,EPA,11/11/2017,England,South East Open
Peter Barrett,M,Raw,70.5,70-74,M-C-M4,65.2,66,95,67.5,160,322.5,1,255.79,343.77,Yes,UK,EPA,11/11/2017,England,South East Open
Steve Blackwell,M,Raw,,55-59,M-C-M2,103.7,105,230,155,250,635,1,381.14,550.85,Yes,England,EPA,11/11/2017,England,South East Open
Will Mann,M,Raw,38.5,35-39,M-C-Open,81.3,83,192.5,132.5,250,575,1,388.63,576.36,Yes,UK,EPA,11/11/2017,England,South East Open
Mariella Fisher,F,Raw,17.5,18-19,F-C-Open,67.8,72,153,80.5,175,408.5,1,415.6,685.3,Yes,UK,EPA,29/04/2018,England,Greater Manchester Powerlifting Championships
Tony Collins,M,Raw,,,M-C-G,95.1,105,110,50,130,290,G,180.3,219.56,Yes,Ireland,EPA,29/04/2018,England,Greater Manchester Powerlifting Championships
Sheri Miles,F,Raw,29.5,24-34,F-C-Open,73.5,84,135,70,200,405,1,389.99,654.8,Yes,UK,EPA,14/02/2016,England,South East Novice & Junior
Matthew Ward,M,Raw,23,20-23,M-C-U23,108.9,120,210,130,232.5,572.5,1,337.97,473.77,Yes,UK,EPA,14/02/2016,England,South East Novice & Junior
Rebecca Heath,F,Raw,37.5,35-39,F-C-Open,45.5,47,102.5,60,122.5,285,1,392.22,578.42,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Louise Sinniah-Burr,F,Raw,37,35-39,F-C-Open,53.4,57,95,67.5,142.5,305,4,372.46,569.76,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Emily Williams,F,Raw,,,F-C-Open,70.4,72,125,57.5,135,317.5,3,314.63,521.89,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Peter Barrett,M,Raw,68.5,65-69,M-C-Open,64,66,100,67.5,175,342.5,4,275.94,376.4,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Ed Karim,M,Raw,24.5,24-34,M-C-Open,81.8,83,200,165,225,590,1,397.28,591.08,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Frederick Annan,M,Raw,,,M-C-Open,86.1,93,215,162.5,255,632.5,2,413.41,617.85,Yes,England,EPA,21/11/2015,England,GL Divisional November
Thomas Celestine,M,Raw,40,40-44,M-C-Open,102.6,105,240,125,312.5,677.5,1,408.25,597.25,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Tim Wheeler,M,Raw,40.5,40-44,M-C-Open,102.3,105,215,115,255,585,4,352.9,505.07,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Hugo Duarte,M,Raw,,,M-C-Open,104.4,105,245,147.5,285,677.5,2,405.66,590.97,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Elliot Davies,M,Raw,20.5,20-23,M-C-Open,117.7,120,220,132.5,240,592.5,2,342.23,470.9,Yes,UK,EPA,21/11/2015,England,GL Divisional November
Dan Magee,M,Raw,21.5,20-23,M-C-U23,82.6,83,205,130,217.5,552.5,2,369.86,544.4,Yes,UK,EPA,24/09/2017,England,South East Autumn Qualifier
David Sloane,M,Raw,28.5,24-34,M-C-Open,102.4,105,222.5,142.5,255,620,1,373.87,540.03,Yes,UK,EPA,24/09/2017,England,South East Autumn Qualifier
Kevin Payne,M,Raw,,,M-C-M3,71.1,74,102.5,80,185,367.5,1,272.17,375.44,Yes,UK,EPA,24/09/2017,England,South East Autumn Qualifier
Lee Mungovan,M,Raw,37,35-39,M-C-Open,117.1,120,155,150,185,490,1,283.38,375.98,Yes,UK,EPA,24/09/2017,England,South East Autumn Qualifier
Kimberley Cowell,F,Raw,30.5,24-34,F-C-Open,69.7,72,137.5,80,160,377.5,1,376.67,624.62,Yes,UK,EPA,03/02/2019,UK,North West Team Competition
Steevi Pugh,F,Raw,28.5,24-34,F-C-Open,99.9,84+,196,75,162.5,433.5,1,361.03,618.33,Yes,UK,EPA,03/02/2019,UK,North West Team Competition
Lizzy Terry,F,Raw,27,24-34,F-C-Open,94,84+,150,65,172.5,387.5,1,329.22,567.07,Yes,UK,EPA,03/02/2019,UK,North West Team Competition
Sam Pile,M,Raw,,,M-C-U18,62.6,66,130,77.5,157.5,365,1,299.73,414.61,Yes,England,EPA,25/11/2012,England,South East Open
Cameron Keyes,M,Raw,,,M-C-U18,92.2,93,140,95,190,425,1,268.09,369.03,Yes,England,EPA,25/11/2012,England,South East Open
Mehrad Tafreshi,M,Raw,,,M-C-U23,73.6,74,170,90,190,450,1,324.94,466.11,Yes,UK,EPA,25/11/2012,England,South East Open
Chris Simmons,M,Raw,,,M-C-Open,68.1,74,180,145,212.5,537.5,1,411.51,608.27,Yes,England,EPA,25/11/2012,England,South East Open
Steve Blackwell,M,Raw,,50-54,M-C-M2,100,105,215,157.5,290,662.5,1,403.19,591.44,Yes,England,EPA,25/11/2012,England,South East Open
Roy Cole,M,Raw,51,50-54,M-C-M2,92.8,93,215,152.5,232.5,600,1,377.3,553.52,Yes,England,EPA,25/11/2012,England,South East Open
Anthony Eales,M,Raw,,,M-C-Open,81.8,82.5,150,90,190,430,9,289.54,407.79,Yes,England,EPA,18/03/2007,England,Anglian Open Powerlifting Championships
Thomas Celestin,M,Raw,,,M-C-Open,105.4,110,220,160,295,675,2,402.81,585.09,Yes,England,EPA,18/03/2007,England,Anglian Open Powerlifting Championships
Allan Moses,M,Raw,,,M-C-Open,117.4,125,230,120,240,590,1,341,469.26,Yes,UK,EPA,18/03/2007,England,Anglian Open Powerlifting Championships
Glyn Belsher,M,Raw,,,M-C-Open,92,93,152.5,100,160,412.5,1,260.48,356.22,Yes,UK,EPA,23/07/2016,England,North Midlands Extra Competition
Sue Giles,F,Raw,55.5,55-59,F-C-Open,71.9,72,87.5,50,105,242.5,1,236.91,393.88,Yes,UK,EPA,23/07/2016,England,North Midlands Extra Competition
Karen Towersey,F,Raw,49.5,45-49,F-C-Open,86,84+,102.5,62.5,140,305,1,268.9,463.55,Yes,UK,EPA,23/07/2016,England,North Midlands Extra Competition
Ellie Steel,F,Raw,,,F-C-Open,56.5,57,135,90,162.5,387.5,1,452.77,711,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Catherine Smith,F,Raw,21.5,20-23,F-C-Open,55.6,57,115,60,150,325,2,384.55,596.69,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Galit Goldshmid,F,Raw,40,40-44,F-C-Open,60.7,63,107.5,75,142.5,325,1,359.1,571.36,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Daniel Jay,M,Raw,21.5,20-23,M-C-Open,59,59,115,100,170,385,1,333.48,465.69,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Jamie Sinclair,M,Raw,36.5,35-39,M-C-Open,82.2,83,182.5,152.5,210,545,2,365.9,537.68,Yes,England,EPA,29/01/2017,England,South Midlands Open
Alex Pearson-Jones,M,Raw,,,M-C-Open,101.6,105,230,135,282.5,647.5,3,391.62,570.49,Yes,England,EPA,29/01/2017,England,South Midlands Open
Edwin Lord,M,Raw,17.5,18-19,M-C-Open,96.2,105,180,132.5,240,552.5,5,341.75,491.28,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Anthony Cooper,M,Raw,,,M-C-Open,106.7,120,270,225,265,760,1,451.65,664.59,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Bradley Horne #1,M,Raw,19.5,20-23,M-C-Open,110.2,120,220,167.5,270,657.5,3,386.72,552.76,Yes,UK,EPA,29/01/2017,England,South Midlands Open
Abi Graham,F,Raw,35,35-39,F-C-Open,61.6,63,120,72.5,155,347.5,1,379.64,607.98,Yes,UK,EPA,17/11/2013,England,East Midlands Powerlifting Championships
Alan Joseph,M,Raw,43.5,40-44,M-C-Open,79.7,82.5,170,115,230,515,1,352.43,514.65,Yes,UK,EPA,12/04/2009,England,Anglian Unequipped Open Powerlifting Championship
Julian Massey,M,Raw,52.5,50-54,M-C-Open,114.9,125,172.5,140,210,522.5,1,303.67,411.22,Yes,UK,EPA,12/04/2009,England,Anglian Unequipped Open Powerlifting Championship
Beckie Hebson,F,Raw,34.5,24-34,F-C-Open,56.3,57,110,60,152.5,322.5,1,377.87,588.13,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Richard Gould,M,Raw,58.5,55-59,M-C-Open,57.5,59,100,70,132.5,302.5,2,268.44,356.31,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Kimberley Cowell,F,Raw,30,24-34,F-C-Open,70.3,72,140,85,180,405,1,401.73,668.05,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Scarlett Portues,F,Raw,26.5,24-34,F-C-Open,77,84,142.5,77.5,,,DQ,,,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Steevi Pugh,F,Raw,28.5,24-34,F-C-Open,98.7,84+,195,70,160,425,1,355.24,609.27,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Jordan McLaughlin,M,Raw,24.5,24-34,M-C-Open,142.3,120+,352.5,220,327.5,900,1,501.72,686.28,Yes,UK,EPA,09/12/2018,England,Christmas Spectacular II
Daniel McGauley,M,Raw,,,M-C-Open,55.7,59,95,75,105,275,1,251.67,326.31,Yes,England,EPA,11/06/2017,England,Essex County Championships
Jared Holmes,M,Raw,,,M-C-Open,117.3,120,250,185,285,720,1,416.22,591.59,Yes,UK,EPA,11/06/2017,England,Essex County Championships
Harrison Wall,M,Raw,15.5,16-17,M-C-Open,69.9,74,125,80,150,355,4,266.32,364.88,Yes,UK,EPA,16/07/2016,England,Kent & Surrey Championships
Edwin Lord,M,Raw,16.5,16-17,M-C-Open,90.8,93,160,115,240,515,8,327.31,469.93,Yes,UK,EPA,16/07/2016,England,Kent & Surrey Championships
Hendrick Famutimi,M,Raw,31.5,24-34,M-C-Open,91.3,93,242.5,162.5,290,695,1,440.51,661.45,Yes,UK,EPA,16/07/2016,England,Kent & Surrey Championships
Drew Blackman,M,Raw,37.5,35-39,M-C-Open,91.4,93,215,142.5,230,587.5,4,372.17,545.64,Yes,UK,EPA,16/07/2016,England,Kent & Surrey Championships
Steve Blackwell,M,Raw,,,M-C-Open,103,105,220,150,270,640,2,385.09,558.17,Yes,England,EPA,16/07/2016,England,Kent & Surrey Championships
Sarah Edgar King,F,Raw,34,24-34,F-C-Open,61.4,63,150,87.5,175,412.5,1,451.78,726.43,Yes,UK,EPA,05/02/2012,England,East Midlands Unequipped Powerlifting Championships
David Brown,M,Raw,,,M-C-Open,57.9,59,92.5,82.5,132.5,307.5,1,271.09,361.21,Yes,England,EPA,05/02/2012,England,East Midlands Unequipped Powerlifting Championships
Andy Hutchings,M,Raw,36.5,35-39,M-C-Open,113.4,120,205,140,230,575,1,335.38,464.68,Yes,UK,EPA,05/02/2012,England,East Midlands Unequipped Powerlifting Championships
Steve Blackwell,M,Raw,56.5,55-59,M-C-M2,102.6,105,215,150,240,605,1,364.56,524.28,Yes,England,EPA,22/05/2018,England,South East Spring Divisional
Dan Magee,M,Raw,22.5,20-23,M-C-U23,82.9,83,220,147.5,222.5,590,1,394.11,585.63,Yes,UK,EPA,22/05/2018,England,South East Spring Divisional
Cat Shamel,F,Raw,40,40-44,F-C-Open,51.8,52,117.5,65,142.5,325,1,406.36,619.39,Yes,UK,EPA,02/12/2018,England,West Midlands Full Power and Bench Only Championships
Jodie Cook,F,Raw,29.5,24-34,F-C-Open,60.7,63,135,82.5,165,382.5,1,422.64,676.05,Yes,UK,EPA,02/12/2018,England,West Midlands Full Power and Bench Only Championships
Laura Smith #1,F,Raw,37,35-39,F-C-Open,69.2,72,125,70,162.5,357.5,1,358.5,593.01,Yes,UK,EPA,02/12/2018,England,West Midlands Full Power and Bench Only Championships
Takara Hawthorne-Smith,F,Raw,26.5,24-34,F-C-Open,82.9,84,167.5,92.5,210,470,1,421.93,721.04,Yes,UK,EPA,02/12/2018,England,West Midlands Full Power and Bench Only Championships
Andrew Ward,M,Raw,,,M-C-Open,72.3,74,190,130,212.5,532.5,1,389.51,574.77,Yes,UK,EPA,02/12/2018,England,West Midlands Full Power and Bench Only Championships
Daniel Thomas #2,M,Raw,27.5,24-34,M-C-Open,65.1,66,135,143,200,478,1,379.62,551.17,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Paul Marsh,M,Raw,23.5,24-34,M-C-Open,79.7,83,182.5,122.5,240,545,2,372.96,549.57,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Ed Karim,M,Raw,22.5,20-23,M-C-Open,81.4,83,175,145,180,500,5,337.69,489.69,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Tim Wheeler,M,Raw,38.5,35-39,M-C-Open,92.5,93,207.5,107.5,250,565,3,355.84,517.39,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Erik Mata,M,Raw,16.5,16-17,M-C-Open,86.2,93,170,110,192.5,472.5,12,308.63,439.76,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Thomas Celestine,M,Raw,38,35-39,M-C-Open,103,105,240,120,305,665,2,400.14,583.28,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Paul Doherty,M,Raw,30.5,24-34,M-C-Open,126.4,120+,260,180,282.5,722.5,1,410.8,569.54,Yes,UK,EPA,23/11/2013,England,Greater London Powerlifting Championships
Cameron Keyes,M,Raw,,,M-C-U18,81.1,83,150,,210,,DQ,,,Yes,England,EPA,22/04/2012,England,South East Unequipped Championships
Mark Jackson,M,Raw,,,M-C-U23,81.4,83,205,127.5,240,572.5,1,386.65,573,Yes,UK,EPA,22/04/2012,England,South East Unequipped Championships
Paul Doherty,M,Raw,29.5,24-34,M-C-Open,110.5,120,210,170,250,630,3,370.24,525.25,Yes,UK,EPA,22/04/2012,England,South East Unequipped Championships
Chris Simmons,M,Raw,,,M-C-Open,73.5,74,210,155,235,600,1,433.68,650.42,Yes,England,EPA,22/04/2012,England,South East Unequipped Championships
Steve Blackwell,M,Raw,50.5,50-54,M-C-M2,101.3,105,225,157.5,280,662.5,1,401.15,586.74,Yes,England,EPA,22/04/2012,England,South East Unequipped Championships
Roy Cole,M,Raw,50.5,50-54,M-C-M2,92.6,93,200,156,225,581,1,365.73,534.06,Yes,England,EPA,22/04/2012,England,South East Unequipped Championships
Ernie Parkes,M,Raw,69.5,65-69,M-C-M4,82.1,83,167.5,95,212.5,475,1,319.14,458.13,Yes,UK,EPA,22/04/2012,England,South East Unequipped Championships
Kevin Kavanagh,M,Raw,39.5,35-39,M-C-Open,98.8,100,210,135,230,575,2,351.66,506.01,Yes,England,EPA,23/05/2010,England,NW Unequipped
Suzanne Richards,F,Raw,42.5,40-44,F-C-M1,51.65,52,82.5,55,110,247.5,1,310.15,463.33,Yes,UK,EPA,12/06/2016,England,Essex County Championships
Hannah Yardy,F,Raw,,,F-C-Open,70.85,72,107.5,77.5,165,350,1,345.33,574.42,Yes,England,EPA,12/06/2016,England,Essex County Championships
Emily Williams,F,Raw,,,F-C-Open,71.25,72,132.5,55,140,327.5,3,321.9,535.8,Yes,UK,EPA,12/06/2016,England,Essex County Championships
Daniel McGauley,M,Raw,,,M-C-Open,58.15,59,82.5,65,90,237.5,1,208.53,258.48,Yes,England,EPA,12/06/2016,England,Essex County Championships
Scott Bradwell,M,Raw,32.5,24-34,M-C-G,74.7,83,210,147.5,232.5,590,G,421.59,630.62,Yes,UK,EPA,30/01/2016,England,Yorkshire Counties
Joshua Greenfield,M,Raw,21.5,20-23,M-C-G,103.85,105,265,157.5,265,687.5,G,412.43,602.87,Yes,UK,EPA,30/01/2016,England,Yorkshire Counties
Tony Rose,M,Raw,16.5,16-17,M-C-Open,72.2,74,130,85,190,405,2,296.55,417.29,Yes,UK,EPA,30/01/2016,England,Yorkshire Counties
Daniel Bedford,M,Raw,,,M-C-Open,81.8,83,230,150,,,DQ,,,Yes,UK,EPA,30/01/2016,England,Yorkshire Counties
Kieran Gray,M,Raw,19.5,20-23,M-C-Open,91.05,93,200,135,245,580,2,368.12,538.95,Yes,UK,EPA,30/01/2016,England,Yorkshire Counties
Michelle Trench,F,Raw,,,F-C-Open,46.1,47,45,30,105,180,2,245.45,342.89,Yes,England,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Danielle Broom,F,Raw,16.5,16-17,F-C-Open,61.5,63,92.5,47.5,130,270,4,295.34,468.51,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Megan Davies,F,Raw,18.5,18-19,F-C-Open,70.5,72,100,52.5,135,287.5,2,284.62,471.66,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Julia Fabrizi,F,Raw,50.5,50-54,F-C-Open,81.3,84,95,72.5,140,307.5,3,278.89,477.13,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Laura Shea,F,Raw,24.5,24-34,F-C-Open,125.9,84+,112.5,72.5,125,310,3,245.79,416.24,Yes,England,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Roger Hamilton-Smith,M,Raw,39.5,35-39,M-C-Open,64.5,66,142.5,110,200,452.5,3,362.17,521.2,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Steven Tyers,M,Raw,,,M-C-Open,73.9,74,210,137.5,245,592.5,1,426.6,638.68,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Henry Clark,M,Raw,74.5,70-74,M-C-Open,73.5,74,130,57.5,160,347.5,4,251.17,340.99,Yes,England,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Jasvinder Singh Cheema,M,Raw,40.5,40-44,M-C-Open,83,83,187.5,145,212.5,545,4,363.79,534.05,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Phillip Wood,M,Raw,,,M-C-Open,80.1,83,150,112.5,217.5,480,7,327.44,472.19,Yes,England,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Keith Blacknell,M,Raw,51.5,50-54,M-C-Open,89.2,93,170,110,190,470,6,301.42,426.67,Yes,UK,EPA,01/02/2015,England,South Midlands Open Powerlifting Championships
Keith Blacknell,M,Raw,54.5,50-54,M-C-Open,92.7,93,232.5,135,230,597.5,5,375.92,551.25,Yes,UK,EPA,25/03/2018,England,SMPA Bitesize 7
Lewis Fisher,M,Raw,20.5,20-23,M-C-U23,75.1,83,145,117.5,195,457.5,2,325.69,468.04,Yes,UK,EPA,05/06/2016,England,Sussex Championships
Mia Howell,F,Raw,14,13-15,F-T1,44.2,47.5,45,30,52.5,127.5,1,178.98,230.29,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Fiona MacDonald,F,Raw,56,55-59,F-M4,52.8,53,67.5,53,100,220.5,1,271.65,404.51,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Katie Dent,F,Raw,24,24-34,F-O,57.2,58.5,95,57.5,140,292.5,1,338.49,526.72,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Karen Dalziel,F,Raw,38,35-39,F-O,61,63,112.5,72.5,160,345,1,379.76,606.32,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Ligia Rodrigues,F,Raw,26,24-34,F-O,59.8,63,105,83,150,338,2,377.81,599.37,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Laura Howlett,F,Raw,35,35-39,F-O,59.4,63,92.5,60,150,302.5,3,339.89,535.82,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Katrin Dreyer Gibney,F,Raw,57,55-59,F-M4,67.2,70,105.5,47.5,137.5,290.5,1,297.44,486.25,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
Nydia Prosper,F,Raw,37,35-39,F-O,74.2,80,127.5,77.5,170,375,1,358.91,603.57,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Lesley Shinnick,F,Raw,25,24-34,F-O,75.6,80,137.5,65,140,342.5,3,323.98,546.76,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
Alicia Bell,F,Raw,14,13-15,F-T1,75.4,80,100,60,110,270,4,255.82,431.2,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Emma Wright,F,Raw,42,40-44,F-M1,84.8,90,115,50,145,310,2,275.15,473.46,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Gareth Walsh,M,Raw,46,45-49,M-M2,58.8,60,122.5,92.5,165,380,1,330.19,459.95,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
Jeff Heneghan,M,Raw,19,18-19,M-T3,79.6,82.5,182.5,120,220,522.5,2,357.84,523.86,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
Gary Walsh,M,Raw,36,35-39,M-O,81.4,82.5,170,110,212.5,492.5,3,332.62,481.08,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
Barry Wells,M,Raw,45,45-49,M-M2,80.8,82.5,160,115,190,465,4,315.49,451.9,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Harry Hollis,M,Raw,26,24-34,M-O,89,90,230,180,270,680,1,436.61,656.13,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Sean Manning,M,Raw,49,45-49,M-M2,86,90,170,137.5,230,537.5,4,351.54,512.73,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Mark Tucker,M,Raw,53,50-54,M-M3,88.6,90,185,120,225,530,5,341.1,494.21,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Richard John,M,Raw,44,40-44,M-M1,99.4,100,235,157.5,260,652.5,3,398.07,583.41,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Christopher Harrison,M,Raw,26,24-34,M-O,98.2,100,210,157.5,265,632.5,4,387.8,567.24,Yes,Ireland,WDFPF,05/05/2018,England,European Powerlifting Championships
John Gavin Walker,M,Raw,78,75-79,M-M8,99.3,100,125,105,192.5,422.5,7,257.86,348.15,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
James Benson,M,Raw,25,24-34,M-O,107.8,110,240,192.5,280,712.5,1,421.99,614,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Dugal Williams,M,Raw,38,35-39,M-O,108.4,110,282.5,140,280,702.5,2,415.32,602.21,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
Terry Horrocks,M,Raw,43,40-44,M-M1,109,110,225,152.5,260,637.5,3,376.23,536.88,Yes,UK,WDFPF,05/05/2018,England,European Powerlifting Championships
